2020-03-29,100
2020-04-05,64
2020-04-12,85
2020-04-19,70
2020-04-26,70
2020-05-03,56
2020-05-10,46
2020-05-17,34
2020-05-24,42
2020-05-31,35
2020-06-07,38
2020-06-14,35
2020-06-21,29
2020-06-28,22
2020-07-05,21
2020-07-12,22
2020-07-19,20
2020-07-26,20
2020-08-02,20
2020-08-09,18
2020-08-16,17
2020-08-23,16
2020-08-30,14
2020-09-06,15
2020-09-13,15
2020-09-20,15
2020-09-27,17
2020-10-04,20
2020-10-11,18
2020-10-18,25
2020-10-25,22
2020-11-01,14
2020-11-08,15
2020-11-15,19
2020-11-22,14
2020-11-29,15
2020-12-06,15
2020-12-13,13
