2020-03-29,67
2020-04-05,70
2020-04-12,52
2020-04-19,45
2020-04-26,43
2020-05-03,33
2020-05-10,35
2020-05-17,34
2020-05-24,28
2020-05-31,22
2020-06-07,23
2020-06-14,33
2020-06-21,40
2020-06-28,30
2020-07-05,38
2020-07-12,27
2020-07-19,24
2020-07-26,43
2020-08-02,38
2020-08-09,50
2020-08-16,37
2020-08-23,22
2020-08-30,22
2020-09-06,31
2020-09-13,26
2020-09-20,29
2020-09-27,38
2020-10-04,29
2020-10-11,31
2020-10-18,31
2020-10-25,18
2020-11-01,33
2020-11-08,29
2020-11-15,21
2020-11-22,27
2020-11-29,25
2020-12-06,24
2020-12-13,19
